City,State,Metro,CountyName,SizeRank,Coordinates,Moving_Growth_2010_12,Moving_Growth_2013_15,Moving_Growth_2016_18,Avg_Median_2010_12,Avg_Median_2013_15,Avg_Median_2016_18,Median_Filter
New York,NY,New York-Newark-Jersey City,Queens County,1,"40.7127837, -74.0059413",-0.010822841,0.029646454,0.008974572,430851.0833,519426.1944,797143.5882,2010-2012
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2,"34.0522342, -118.2436849",-0.012373829,0.026726033,0.011194832,401714.5556,575669.4167,737534.8676,2013-2015
Chicago,IL,Chicago-Naperville-Elgin,Cook County,3,"41.8781136, -87.6297982",-0.018004104,0.020079489,0.014354436,233959.3889,244374.2778,294250.6912,2016-2018
Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,4,"29.7604267, -95.3698028",-0.000182381,0.044271602,-0.00165128,150295.1111,222898.3889,295898.5441,
San Antonio,TX,San Antonio-New Braunfels,Bexar County,5,"29.4241219, -98.4936282",0.001606514,0.022958936,0.000529176,153897.8611,200503.125,234468.4559,
Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,6,"39.9525839, -75.1652215",0.00279726,0.012350132,0.025329209,147563.8889,149647.1528,183938.2353,
Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,7,"33.4483771, -112.0740373",-0.01473354,0.027140377,0.007204705,125285.4444,216282.1667,268950.0588,
Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,8,"36.1699412, -115.1398296",-0.016833372,0.03350127,0.02133518,132420.4167,189434.0833,265974.8971,
San Diego,CA,San Diego-Carlsbad,San Diego County,9,"32.715738, -117.1610838",-0.013270109,0.023856815,0.006517948,394210.1528,510162.1389,638314.1618,
Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,10,"32.7766642, -96.7969879",9.94E-05,0.02431766,0.015235135,207617.8333,266451.9444,376205.8824,
