City,State,Metro,CountyName,SizeRank,Coordinates,Moving_Growth,Avg_Median,Year_Period,Year_Filter
New York,NY,New York-Newark-Jersey City,Queens County,1,"40.7127837, -74.0059413",-0.010822841,430851.0833,2010-2012,2010-2012
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2,"34.0522342, -118.2436849",-0.012373829,401714.5556,2010-2012,2013-2015
Chicago,IL,Chicago-Naperville-Elgin,Cook County,3,"41.8781136, -87.6297982",-0.018004104,233959.3889,2010-2012,2016-2018
Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,4,"29.7604267, -95.3698028",-0.000182381,150295.1111,2010-2012,
San Antonio,TX,San Antonio-New Braunfels,Bexar County,5,"29.4241219, -98.4936282",0.001606514,153897.8611,2010-2012,
Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,6,"39.9525839, -75.1652215",0.00279726,147563.8889,2010-2012,
Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,7,"33.4483771, -112.0740373",-0.01473354,125285.4444,2010-2012,
Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,8,"36.1699412, -115.1398296",-0.016833372,132420.4167,2010-2012,
San Diego,CA,San Diego-Carlsbad,San Diego County,9,"32.715738, -117.1610838",-0.013270109,394210.1528,2010-2012,
Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,10,"32.7766642, -96.7969879",9.94E-05,207617.8333,2010-2012,
New York,NY,New York-Newark-Jersey City,Queens County,1,"40.7127837, -74.0059413",0.029646454,519426.1944,2013-2015,
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2,"34.0522342, -118.2436849",0.026726033,575669.4167,2013-2015,
Chicago,IL,Chicago-Naperville-Elgin,Cook County,3,"41.8781136, -87.6297982",0.020079489,244374.2778,2013-2015,
Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,4,"29.7604267, -95.3698028",0.044271602,222898.3889,2013-2015,
San Antonio,TX,San Antonio-New Braunfels,Bexar County,5,"29.4241219, -98.4936282",0.022958936,200503.125,2013-2015,
Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,6,"39.9525839, -75.1652215",0.012350132,149647.1528,2013-2015,
Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,7,"33.4483771, -112.0740373",0.027140377,216282.1667,2013-2015,
Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,8,"36.1699412, -115.1398296",0.03350127,189434.0833,2013-2015,
San Diego,CA,San Diego-Carlsbad,San Diego County,9,"32.715738, -117.1610838",0.023856815,510162.1389,2013-2015,
Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,10,"32.7766642, -96.7969879",0.02431766,266451.9444,2013-2015,
New York,NY,New York-Newark-Jersey City,Queens County,1,"40.7127837, -74.0059413",0.008974572,797143.5882,2016-2018,
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2,"34.0522342, -118.2436849",0.011194832,737534.8676,2016-2018,
Chicago,IL,Chicago-Naperville-Elgin,Cook County,3,"41.8781136, -87.6297982",0.014354436,294250.6912,2016-2018,
Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,4,"29.7604267, -95.3698028",-0.00165128,295898.5441,2016-2018,
San Antonio,TX,San Antonio-New Braunfels,Bexar County,5,"29.4241219, -98.4936282",0.000529176,234468.4559,2016-2018,
Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,6,"39.9525839, -75.1652215",0.025329209,183938.2353,2016-2018,
Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,7,"33.4483771, -112.0740373",0.007204705,268950.0588,2016-2018,
Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,8,"36.1699412, -115.1398296",0.02133518,265974.8971,2016-2018,
San Diego,CA,San Diego-Carlsbad,San Diego County,9,"32.715738, -117.1610838",0.006517948,638314.1618,2016-2018,
Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,10,"32.7766642, -96.7969879",0.015235135,376205.8824,2016-2018,
